,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Text_ID,Dominant_Topic_ID
38,38,5.0,0.19269999861717224,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","This is exactly what i have been trying to tell y'all. Your vote should be

precious to y'all ous its your power to put another person in authority over
you, your freedom, your daily life and your safety.

To most people, it's about just going out to vote, if you did just that because

you want to, well done, if you didn't, aka #BOYCOTT just like me, you also
got your reasons.

BUT, let those reasons be genuine! Let them be your reasons, not influenced
upon or manipulated in any way.

I'm proud of this mama not because she didn't vote #Hillary or #Trump, but

simply because she did her research, decided for herself, in her interest and
the interest of her kids, and voted consciously!

I'm glad i Choose not to be a part of this whole system.
Im proud to be woke",document #: 38,topic #: 5.0
39,39,5.0,0.9379000067710876,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","The police are killing black people without a reason and no one can even

indict them even if their guilt is evident. And how can we judge a killer cop if
he uses a drone?

Subscribe to our Channel:
https://www.youtube.com/ChahnellUCszPCwUDPvDCR6VRaOCDtg

Follow my Facebook: https://www.facebook.com/WilliamsandKalvin
Follow me on Instagram: httpszllwww.instagram.Com/williams.and.kalvin

Follow me on Twitter: httpszlltwitter.com/Williams8kalvih",document #: 39,topic #: 5.0
40,40,5.0,0.9681000113487244,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","There is a disgusting video Circulating on the internet which shows an
unidentified white cop rape a helpless Black teen. Shameless White Cop
Rapes Black Teen | BM BM",document #: 40,topic #: 5.0
41,41,5.0,0.19220000505447388,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","Black American racial experience is real. We support the 2nd ammendment
for our safety.",document #: 41,topic #: 5.0
42,42,5.0,0.19300000369548798,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https"," go on social media after taking a break and i read news all around our
country and I'm like, really? Is that all we are capable of?

Is that all we really wana achieve?
To weep over Hillary's lost elections, as if our relative member died?

Like wtf?

people whining and crying like its our business if she is president.

Damn people, it's a system.

It doesnt matter who wins or loses!

The point is that we've been fucked for over 300yrs and are still being f*cked,
so let's fucking organizell

That should be our only business!!!

#wakeup #organize #joshuabeal #altonsterling #TerenceCrutoher
#westandtogether #blacklivesmatter #unite4justice #hovem ber8
#elections2016 #black #melanin #blackisbeautiful #blacklivesmatter
#blackgirlmagic #USA #blackahdproud #democrat #republioan
#Africanamerican #unite4justice #vote #breakingnews",document #: 42,topic #: 5.0
43,43,5.0,0.19249999523162842,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","Are you ready for anti-Trump meetups?
Are you ready to voice your concerns?
Click here to get prepaired!
#NotMyPresident STOP TRUMP! STOP RACISM! Buying these t—shirts you
donate to the events against hate and racism. #NotMyPresident BM",document #: 43,topic #: 5.0
44,44,5.0,0.19249999523162842,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","People are genuinely scared for their futures!
Racism won, Ignorance won, Sexual assault won

STOP TRUMP! STOP RACISM! JOIN THE PROTEST at Union Sq. Saturday
12 PM
Bring signs, snacks, water! Trump is NOT my President",document #: 44,topic #: 5.0
45,45,5.0,0.19249999523162842,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","Click on the picture if Trump is not your president.
#notmypresident

https://represent.com/store/notmypresident STOP TRUMP! STOP RACISM!
Buying these t-shirts you donate to the events against hate and racism.
#NotMyPresident Blacktivist",document #: 45,topic #: 5.0
46,46,6.0,0.8723000288009644,"video chanting racist words went, tasted outrage public video chanting, montgomery county middle school kids, middle school kids tasted outrage, kids tasted outrage public video, public video chanting racist words, outrage public video chanting racist, county middle school kids tasted, school kids tasted outrage public, chanting racist words went viral","Unapologetically melaneted Kings and Queens are powerful together. Join us!
Pan-Afican Roots MOVE",document #: 46,topic #: 6.0
47,47,5.0,0.19259999692440033,"follow https twitter williams kalvih, facebook follow https twitter williams, https facebook follow https twitter, https facebook follow https instagram, kalvin follow https twitter williams, https instagram williams kalvin follow, follow https instagram williams kalvin, facebook follow https instagram williams, follow https twitter williams kalvin, instagram williams kalvin follow https","Another case of cop brutality arises, as a Black motorist was brutally beaten
for accidentally turning up the volume of his car music during a traffic stop.
Yet another case of cop brutality arises, as a Black motorist was brutally
beaten for accidentally turning up the volume of his car music during a traffic
stop. Cop Brutality: Officer Assaults Black Man Over “Loud Music” | BM BM",document #: 47,topic #: 5.0
