,description,image,tag,Left,Right,Violence,Apathy
352,"November 22 will mark the second anniversary of the Tamir Rice's death. The
12-year-old was carrying a toy airsoft gun when officer Timothy Loehmann
shot him within two seconds of arriving on the scene. A grand jury decided not
indict the killer.

Tamir’s mother said she is “mad as hell” with the grand jury’s decision of
declaring the officer not guilty. She went on to say, “He was my bright and
shining star. He was full of light and laughter. Tamir had the potential to

become anything in the World, but Officer Loehmann and Garmback didn’t
give him a Chance”.

Due to the corrupt system, Samaria Rice has a dead Child.
However; he will always live in our hearts. Join us on November 26 to honor
the memory of Tamir and show support to his family. Remember Tamir Rice",https://mith.umd.edu/irads/files/original/f24ec2042d23b47c8c46a735e369a4a1.png,Anger|black|BM|gun|photograph|police brutality|race|racial tensions|Sadness|white,1,0,0,1
359,"The community of 2nd Amendment supporters, guns lovers & patriots Defend
The 2nd",https://mith.umd.edu/irads/files/original/c05ff2b2c0316d293335d6f32c189138.png,2nd Amendment|black|Defend the 2nd|gun|guns|illustration|Joy|patriotism|photograph|white,0,1,1,0
366,"Texas - homeland of guns, BBQ, and ur heart",https://mith.umd.edu/irads/files/original/817f2b8659b5a4e8a55310c6b1bf9d09.png,blue|gun|Heart of Texas|illustration|Joy|nation|non-partisan|patriotism|red|Texas|U.S. Flag|white,0,1,1,0
397,"November 22 will mark the second anniversary of the Tamir Rice's death. The
12-year-old was carrying a toy airsoft gun when officer Timothy Loehmann
shot him within two seconds of arriving on the scene. A grand jury decided not
indict the killer.

Tamir’s mother said she is “mad as hell” with the grand jury’s decision of
declaring the officer not guilty. She went on to say, “He was my bright and
shining star. He was full of light and laughter. Tamir had the potential to
become anything in the World, but Officer Loehmann and Garmback didn’t
give him a Chance”.

Due to the corrupt system, Samaria Rice has a dead Child.

However; he will always live in our hearts. Join us on November 26 to honor
the memory of Tamir and show support to his family. Remember Tamir Rice",https://mith.umd.edu/irads/files/original/fe6b669eff9204132b0033954232752a.png,Anger|black|BM|brown|darkness and light|famous person|gun|Joy|non-partisan|photograph|police brutality|race|Sadness|white|world of possibilities,1,0,0,1
403,Stand up for Freedom. Stand up for America!,https://mith.umd.edu/irads/files/original/498ed497e85328c9dc6239f0802e4973.png,brown|city on a hill|civil rights|freedom|guns|Joy|Love|nation|Stand for Freedom|white,0,1,1,0
404,"Police kill us for not moving fast enough, for minding our own business. They
don‘t realize that our daily goal is to return to our families alive and well.",https://mith.umd.edu/irads/files/original/3f4d118fb1f2645f21cbf5dd4ab560a1.png,Anger|blue|BM|green|guns|race|racial tensions|red|Sadness|Surprise,1,0,0,1
405,"Texas - homeland of guns, BBQ, and ur heart",https://mith.umd.edu/irads/files/original/b401dfe33cf5c59dacb0f154b666ba01.png,blue|guns|Heart of Texas|Humor|illustration|Joy|Love|non-partisan|patriotism|red|Texas|white,0,1,1,0
407,"Colin Kaepernick is no Rosa Parks, who was a victim of segregation. But
Colin Kaepernick is an articulate young man, who refused to show pride in a
flag for a country that continues to gun down innocent black men.",https://mith.umd.edu/irads/files/original/eade76710a5314854d14421422ca7ee1.png,black|Blacktivist|civil rights|darkness and light|famous person|football|guns|illustration|Joy|Kaepernick|painting|protester|racial identities|racial tensions|red|Sadness|white,1,0,0,1
409,"Texas - homeland of guns, BBQ, and ur heart",https://mith.umd.edu/irads/files/original/1a1b71670bec86a9782407945fddfd40.png,blue|gun|Joy|Love|nation|patriotism|red|Texas|white,0,1,1,0
426,"ABOUT 15,500 TRANS PEOPLE ACTIVELY SERVE IN THE MILITARY.
It's estimated that over 134000 American veterans are transgender.
Not long ago these people were forced into hiding. As a result, many were
unable treatments for their gender dysphoria, a state of emotional distress
caused by how the gender someone was designated at birth conflicts with

their gender identity.

Coming out as transgender requires telling everyone in your life about you
and enduring the consequences which often means the loss of family, lifelong
friends, yourjob, and being the subject of ridicule, discrimination, and often
violence. No one makes the decision easily and no one transitions unless

they have to do so.

Transphobio s|ur of stupid politicians like GOP presidential hopeful Mike
Huckabee seeking to tremendous efforts of transgender community who are

still struggle for equal rights.
We know how easily bigots and fools who has power are able to reverse

progressive Changes for their own benefit. We can’t let that happen!

These people know what it means to be Transgender and know what it is to
serve in our Armed Forces. We respect their opinion in both of these areas,
especially over those of Governor Huckabee who has not experienced or
accomplished either.

#transgender #military #equality #transphobia #mikehackabee",https://mith.umd.edu/irads/files/original/c4feafcde4997c6eee346716e55596d6.png,Anger|blue|equality|guns|illustration|LGBT|LGBT United|LGBTQ|Love|red|white,1,0,1,0
454,"Tea Party: Pictures, Videos, Breaking News. Click Learn More! Tea Party
News ( @tea Teapartypat",https://mith.umd.edu/irads/files/original/6b48fc3c83ac4ec45db54c7f991d4621.png,blue|city on a hill|famous person|guns|illustration|Joy|nation|patriotism|red|religion|religious figure|soldiers|U.S. Flag|white,0,1,1,0
501,"Christmas is coming !We're sure that you won't be able to find a better
present than a gun! Don't believe us? Just try once and you'll understand
what we're talking about! Gun power, self-confidence, freedom! Tea Party
News ( @tea Teapartypat",https://mith.umd.edu/irads/files/original/0e3fd923cd69646255d5378c3cecbd17.png,_american.made|2nd Amendment|black|gun|guns|Humor|justice|red|text|white|wut,0,1,1,0
504,"Confederate page #1 on Instagram! Follow, comment, repost! Click Learn
More! South United ( @south Yoyoyoyoyo",https://mith.umd.edu/irads/files/original/00dd2640d7a7955795dafff6d6ecbce6.png,black|blue|brown|Confederacy|Confederate flag|guns|Humor|meme|red|soldiers|white,0,1,1,0
507,No one is above the law! Against Police Brutality!,https://mith.umd.edu/irads/files/original/da1f0b4476348a96c492a99d453d80ec.png,badge|black|crime|darkness and light|empowerment|Fear|gun|guns|illustration|police brutality|red|security|white|yellow,1,0,1,0
509,"Just smile and buy him a diet coke! Join us! Click Learn More! Cop Block Us (
@COp Block AmericanCops",https://mith.umd.edu/irads/files/original/d25ae6baa2c0291e726b2ffa306ed857.png,badge|black|blue|cop_block_us|guns|Humor|photograph|police brutality,0,1,0,1
519,"Christmas is coming !We're sure that you won't be able to find a better
present than a gun! Don't believe us?Just try once and you'll understand what
we're talking about! Gun power, self—confidence, freedom! Tea Party News (

@tea Teapartypat",https://mith.umd.edu/irads/files/original/6e613c2473e0584a1bf15999b664a2c3.png,_american.made|black|commercial|gun|guns|red|text,0,1,1,0
523,"Christmas is coming !We're sure that you won't be able to find a better
present than a gun! Don't believe us? Just try once and you'll understand
what we're talking about! Gun power, self-confidence, freedom! Tea Party

News ( @tea Teapartypat",https://mith.umd.edu/irads/files/original/ab3cb89472348010908d82526958cb64.png,black|gun|red|redacted|Sadness,0,1,1,0
527,"We are not against the police, We are against police brutality!",https://mith.umd.edu/irads/files/original/0d2ad2b616d30f6fc8387a285fbde2a4.png,badge|black|crime|darkness and light|empowerment|Fear|gun|guns|illustration|police brutality|red|security|white|yellow,1,0,1,0
